266 391
1 2 33
1 3 26
1 4 19
1 5 9
1 6 13
1 7 10
2 8 10
2 3 13
3 8 12
3 9 25
3 10 8
4 10 2
4 11 9
4 12 12
5 12 1
5 6 7
6 7 12
6 13 30
6 14 16
7 15 5
8 16 14
9 17 30
9 18 21
11 19 40
11 20 21
12 21 32
13 21 36
13 22 46
13 23 31
14 24 13
15 25 11
15 26 4
17 27 15
18 28 22
18 19 12
19 29 10
19 30 11
20 31 15
20 32 26
21 32 4
22 33 1
22 34 1
23 35 8
24 35 3
24 25 4
25 36 25
27 28 19
28 37 5
28 38 7
29 38 6
29 39 21
30 40 18
30 41 10
31 41 15
31 42 3
31 43 22
32 43 2
33 44 3
33 34 1
34 45 6
35 46 46
36 47 12
36 48 18
37 49 8
37 38 7
39 49 22
39 40 16
40 50 16
41 51 30
42 51 24
43 52 40
43 53 50
44 53 14
45 54 16
45 55 25
46 56 6
46 57 4
47 58 5
47 59 5
48 60 24
48 61 4
49 62 9
50 63 11
50 64 21
51 65 11
52 65 18
52 66 12
53 67 3
54 68 15
54 69 13
55 70 14
55 71 17
55 72 16
56 73 14
56 70 15
57 74 17
57 60 13
59 75 10
59 76 12
60 77 15
61 77 14
61 78 16
61 75 8
62 79 9
62 80 23
63 81 14
63 82 7
64 82 17
64 83 27
65 84 11
66 85 16
27 86 10
66 87 7
67 87 31
67 68 21
68 88 5
69 89 3
69 90 4
70 73 12
70 91 23
70 74 19
71 92 19
71 72 12
72 91 13
72 93 12
73 22 16
74 94 10
74 95 12
75 96 6
76 96 3
77 97 17
77 98 14
78 98 10
78 99 6
78 100 4
80 101 7
81 102 7
82 103 43
83 104 26
83 105 12
83 106 12
84 105 15
84 107 14
85 107 2
85 108 3
87 109 33
88 110 13
88 111 23
89 111 2
89 90 2
90 92 25
90 112 43
91 94 4
92 113 2
93 94 16
93 114 15
94 95 10
95 97 2
96 99 17
97 98 15
98 115 7
98 116 5
99 117 10
100 116 8
100 118 15
101 119 19
101 120 11
102 121 19
103 104 11
104 122 4
105 123 6
105 107 25
108 124 13
109 110 8
110 125 17
111 126 14
112 127 17
112 128 13
113 129 13
113 130 32
114 131 15
114 132 12
115 132 19
115 133 6
116 134 9
118 135 13
119 136 5
120 137 20
121 138 5
121 139 6
123 140 8
123 124 9
125 141 50
125 142 15
125 143 2
125 126 32
126 144 16
127 145 4
127 146 35
127 147 27
127 148 10
127 149 11
128 145 6
128 129 26
128 150 8
129 151 18
130 131 17
130 152 3
131 153 17
132 154 12
133 154 17
133 155 14
134 155 6
134 135 9
135 156 18
119 120 20
136 157 7
136 158 13
137 159 27
137 160 6
138 161 29
138 139 5
139 162 19
139 163 3
140 164 25
140 165 21
141 165 11
141 166 14
142 167 20
142 168 17
143 169 46
143 144 27
144 146 15
145 170 8
146 171 11
147 171 14
147 172 14
147 173 9
148 174 5
148 175 17
149 170 12
149 176 31
150 170 2
150 151 23
151 177 25
151 178 18
152 178 7
152 179 22
153 180 21
153 179 8
153 181 20
154 182 14
155 183 7
156 184 6
156 185 4
158 186 9
159 186 3
159 187 5
161 188 25
161 189 13
162 189 8
162 190 17
163 190 31
164 191 25
164 165 22
166 192 3
166 167 10
167 168 13
168 193 30
169 193 12
169 172 16
170 194 20
171 172 12
172 195 17
172 196 19
173 196 18
173 174 9
174 197 31
175 198 24
175 199 21
176 200 9
176 201 12
177 178 16
177 202 3
179 203 4
180 182 3
180 204 25
181 203 15
181 205 7
183 206 9
184 206 4
184 204 4
184 185 5
185 207 13
186 187 4
187 208 17
188 209 12
188 210 35
189 211 24
190 212 3
193 213 3
194 214 11
194 215 9
195 213 14
195 216 19
195 217 18
196 217 21
196 197 22
197 198 10
197 218 17
198 219 15
198 199 10
199 219 20
199 220 17
199 200 5
200 201 17
201 221 8
202 215 8
203 222 30
204 206 2
205 223 23
205 224 16
207 225 4
207 226 3
209 227 20
209 228 21
210 228 9
210 229 16
210 230 16
210 211 4
211 212 10
212 230 6
213 231 26
214 215 15
216 231 11
216 232 8
217 232 9
217 233 13
218 234 3
218 235 6
219 236 5
220 237 18
220 238 17
220 221 18
221 238 16
221 239 16
222 224 31
222 240 3
223 241 7
223 242 3
224 241 10
225 226 4
226 242 6
227 243 9
227 244 17
228 244 7
229 243 21
229 245 33
231 246 7
232 247 18
233 247 6
233 248 5
234 248 12
234 249 3
235 249 6
235 236 5
236 250 13
236 251 4
236 237 7
237 252 25
238 253 3
241 242 9
242 254 22
243 244 18
246 255 39
246 247 28
247 248 5
250 255 26
250 256 6
251 257 29
251 258 16
254 259 8
257 260 13
257 261 7
258 260 12
259 262 2
260 263 2
262 264 18
262 265 13
264 265 13
264 266 1
